Elementos,Comparaciones_teoricas,Tiempo_ms,Tiempo (s),Ordenado,Estado
100,4950,0.399999999,0.0004,SI,Terminado
500,124750,0.899999999,0.0009,SI,Terminado
1500,1124250,2.199999999,0.0022,SI,Terminado
5000,12497500,20.8,0.0208,SI,Terminado
10000,49995000,25.4,0.0254,SI,Terminado
15000,112492500,41.7,0.0417,SI,Terminado
50000,1249975000,309.6,0.3096,SI,Terminado
100000,4999950000,1227.2,1.2272,SI,Terminado
250000,31249875000,7692.7,7.6927,SI,Terminado
500000,1.25E+11,30982.3,30.9823,SI,Terminado
1000000,5.00E+11,265473.8,265.4738,SI,Terminado
